0x14eb,0xda2b
0x7826,0x9eed
0x1b7,0x2608
0x90c,0xad7
0x42a1,0xe3ab
0x6dc2,0xa9ab
0x8be1,0xab24
0x8db7,0xa352
0xa12c,0x8b8e
0xe7e1,0xd72a
0x3e80,0x4b16
0xefa8,0xa488
0x277d,0x6801
0x832d,0xad6b
0x3868,0xbb98
0x7230,0x2c72
0xa15e,0x9cdf
0x412a,0x3c5c
0x28c1,0xe570
0x31e7,0x8688
0xa557,0x3e72
0x3bf2,0xa023
0x641b,0x2a02
0x7304,0x14d8
0x83ef,0x85fc
0x4e99,0xc84c
0x5102,0xd9ac
0xab7d,0x5f2b
0x478d,0xec48
0x1e59,0x9457
0xc7ca,0xa530
0xc09f,0x131
0x1db5,0xc8e9
0x4bdb,0xc3e5
0xdd60,0x2735
0xc0e7,0xba2c
0x6f53,0x4d9c
0x28d6,0xa78d
0xd6b,0x920b
0x426f,0x6464
0x6496,0x46ea
0x9153,0x4cdf
0xbc3c,0x21bd
0x356d,0xf8b
0xfff1,0x1204
0xd370,0xc9d8
0xea7f,0x898f
0xf612,0xbf09
0x833e,0xca9b
0x1fe8,0xce41
0x9ba8,0x814e
0x8933,0xf9f2
0x7a86,0x1f34
0x680,0x78bb
0x5a30,0xad18
0x9e4d,0x5c15
0xdb8a,0xff5a
0x80d6,0x1912
0x1b65,0xda4f
0xeb04,0x3e51
0x1f2e,0x7689
0xa856,0x3ebb
0x5c79,0x3a97
0xb7d9,0xe18
0xaf9b,0x79d7
0x75bb,0xb2d0
0x2bce,0xcb08
0x70b5,0x1c0d
0xd397,0xc23c
0x7384,0xf4fd
0xfcee,0xbc13
0xba94,0xedbc
0x57f0,0x732a
0xabb1,0xd2b0
0x68b,0x6290
0x1f83,0x71c1
0xfffd,0x1293
0xf59b,0x77f
0xc897,0x3e86
0x7db6,0x814
0x1cec,0x2faf
0xc0ce,0x3627
0x93cd,0x9685
0xb24f,0xf4eb
0x3198,0xeaef
0x23a,0x7a5
0x18d7,0xda4c
0xa446,0xa3ae
0x498b,0x2ad9
0x4743,0x3f30
0xdb9b,0xbb7d
0x6956,0x59b6
0x4be6,0xe101
0x23b4,0x4d36
0xc849,0x5fa7
0x6445,0xfafe
0x4f0,0xf1ee
0xcb0,0xd52c
0x942a,0xc196
0xd1c6,0xf6dc
0x74d0,0x24bc
0xc540,0x9855
0xa033,0xc038
0xa96f,0x6c63
0x1551,0xc413
0x9fd8,0x7107
0xe5f2,0x486
0x1021,0x431c
0xef5d,0x214
0x4fda,0xef9f
0xdab0,0x756b
0xf18e,0x361e
0xe183,0x8762
0x153d,0xb5ea
0xfea8,0x5aeb
0xb5e7,0x27a
0x90ab,0x42bd
0x95c6,0x1d3c
0x83ab,0xe738
0x9126,0x19a3
0x17aa,0x822
0x486c,0x60c3
0xbc57,0x2bcc
0xdc69,0x3869
0xd437,0xc4f9
0x9ce6,0x7709
0xcc2c,0x3447
0xdb11,0x53ea
0x14e5,0xc15b
0xa68e,0x8b8a
0x89a8,0xee03
0x6858,0x914e
0x6bc1,0xfd13
0xb0bc,0xcb5b
0x67e,0x18be
0x252,0xcc3b
0xfa87,0x99ff
0xf443,0x12f2
0x3d3c,0xc9be
0xf20b,0x6b19
0xf63e,0x9d3f
0xeed6,0xe97d
0xe660,0x53d8
0xfc03,0x638a
0xe7b9,0x3f2
0x92f,0x22b1
0x269d,0x4f99
0xb32d,0x8549
0x4ca5,0xe4b5
0xa230,0x8a55
0xba37,0x7064
0xa812,0x7443
0x1e21,0x40ec
0x15a8,0xdb2f
0xcaa,0xce58
0x16fb,0x7e88
0xadef,0x4e4e
0x189c,0x9c74
0xb076,0x2427
0x4149,0xd848
0xa69f,0x2a4a
0x1c50,0xcdd0
0x36b2,0x3e46
0xf63,0x472e
0x8dd1,0xac1e
0x9574,0x47cf
0x524,0xcec1
0x92b4,0xa539
0xa94d,0xfc7
0x9772,0x49d4
0xa331,0x5f18
0x19a3,0xe091
0x8fae,0xee3e
0xcc0c,0x373b
0xa988,0x22d1
0xf6a9,0x152
0xd1c,0x2fdb
0xe1f,0xa4c3
0x1b58,0x2067
0xf495,0x5ccb
0xaefe,0x6adf
0xd03b,0x16ad
0xfafc,0x2976
0x7e38,0x7c3b
0x5624,0xb9b0
0xbaf0,0x63bb
0x4f4e,0x566a
0xdfe,0x68a7
0x2f83,0x6f1b
0xc69f,0x7b5f
0x47a0,0xe33c
0x83d6,0xa3c4
0x9f8b,0xfe09
0xb00c,0x3498
0xdc2b,0x8591
0xc455,0x5b75
0x3f51,0x70d4
0x54eb,0x50c8
0xdffe,0xffc
0x2545,0x393b
0x3067,0x8e65
0x39da,0x8e50
0xb98,0xd4d1
0xef3a,0xf1bf
0x6f4,0xadc
0x1287,0x8828
0x2725,0xf428
0xd38a,0x9a10
0xd640,0xfb2
0x13ef,0xb04c
0x24e8,0x85bc
0x538,0xf297
0xfe44,0x9a44
0x8a4e,0x116e
0xdacd,0x22cb
0x8636,0x2e93
0x4c01,0x57c7
0xd96e,0x9ef2
0x26c1,0x10d4
0xfc8d,0xd090
0xdbb,0x2702
0x922c,0xa4db
0x1d35,0xaca5
0xe8e9,0x3a0
0x9117,0x15d9
0xbbc4,0xb9f7
0x421d,0x8df
0x91e5,0x5f69
0x4c62,0x8745
0x1085,0x4008
0x292c,0x1970
0x3024,0x6a84
0x8ca0,0xde60
0x806a,0x4aed
0x2341,0xb268
0x5385,0xa731
0x9389,0x1f47
0x760d,0xc390
0xf150,0x3170
0x5617,0xc330
0x17de,0x8a8e
0x223c,0x8567
0x2257,0xa8dd
0xedd3,0x709f
0xfa9c,0x808a
0x5897,0x5069
0xf8ae,0x1d24
0x9c3b,0x373a
0x348,0x2d6e
0xa363,0x4938
0xec41,0x4b57
0x77f,0xe340
0x8cc,0xc40e
0x2b4c,0x324a
0x5478,0xf9c1
0x83c3,0x2c78
0x90f,0x9526
0x79b9,0x89a8
0xecac,0x3642
0xd19a,0x5ef7
0x4694,0x274d
0xc51c,0x3a82
0xf301,0xe80c
0x3c5e,0xd543
0xb01f,0x4b01
0x879c,0x89d2
0x708a,0xf356
0x492e,0xd725
0x64db,0x8b09
0x17dd,0x5cbc
0x576f,0xc2de
0xdf4a,0xf070
0x74a6,0x54ce
0xdab0,0x756b
0x31ee,0x2df2
0xe6e4,0x7bcb
0xbda5,0xc398
0x3072,0x5b33
0x491e,0xb4c8
0xfe4e,0x3788
0xb143,0xffd
0xda2,0x5181
0x87d8,0x1ae1
0x316b,0xe9fa
0x209a,0xc1dd
0x3b4b,0xfab8
0xf178,0x4192
0x53e5,0x56
0x309f,0x6e89
0xd069,0x5573
0xdf94,0x8d51
0x9384,0x53e7
0x1112,0xec0c
0x55ed,0x9d6a
0x74cf,0x571e
0x985b,0x9896
0x3144,0xc11f
0x8298,0x85de
0x2e19,0x6c25
0x1355,0xb548
0x557a,0xeeaa
